Scrambling solved cube with: ['B', 'R', 'D inverse']
*** SOLVED ***
Moves to solve: ['R', 'R', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'R inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'R inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'R inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'R inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'R inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'R inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'R inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'R inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'U inverse']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'U inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'U inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'U inverse']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'D inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'D inverse']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'F inverse', 'D inverse', 'U inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'F inverse']
*** SOLVED ***
Moves to solve: ['D inverse', 'U inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'U inverse', 'D', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'D']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'D', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'D inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'F inverse']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'F inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'F']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'F inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'F', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'B inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B', 'B inverse']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'B']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U', 'B inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'B', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'L inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'L']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'L inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'R inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'R']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'R inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'U']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'U inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'U']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'D inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'U']
*** SOLVED ***
Moves to solve: ['D', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'U', 'D', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'D']
